audio.omgsoundboard	OMGSoundboard/android-app
aws.apps.usbDeviceEnumerator	alt236/USB-Device-Info---Android
axp.tool.apkextractor	axxapy/apkExtractor
background.work.around	confidenseuide/BackgroundWorkAround
balti.xposed.pixelifygooglephotos	BaltiApps/Pixelify-Google-Photos
barilyuk.batterytemperature	Eb43/batterytemperature
barilyuk.mobilosignal	Eb43/phonesignalstrength
barilyuk.texetescribe	Eb43/txtnotes
be.bhasher.mobileinpact	BhasherBEL/MobileInpact
be.casperverswijvelt.unifiedinternetqs	CasperVerswijvelt/Better-Internet-Tiles
be.chvp.nanoledger	chvp/NanoLedger
be.cuypers_ghys.gaai	FrankHJCuypers/gaai
be.digitalia.fosdem	cbeyls/fosdem-companion-android
be.humanoids.webthingify	freaktechnik/Webthingify
be.knars.netflixtoimdb	Px3XjG6P/NetflixtoIMDb
be.martinelli.miniflutt	DocMarty84/miniflutt
be.moraine.yapl	dmoraine/yapl
be.ppareit.swiftp_free	ppareit/swiftp
be.robinj.distrohopper	RobinJ1995/DistroHopper
be.ugent.zeus.hydra.open	ZeusWPI/hydra-android
bilalsul.rzr	bilalsul/rzr
bim.app	j-jorge/bim
bitscoper.bitscoper_cyberkit	bitscoper/bitscoper_cyberkit
biz.binarysolutions.healthybatterycharging	vbresan/HealthyBatteryCharging
biz.binarysolutions.imageconverter	vbresan/Image_Converter
biz.binarysolutions.mindfulnessmeditation	vbresan/MindfulnessMeditation
biz.binarysolutions.mindfulscale	vbresan/MindfulAttentionAwarenessScale
biz.binarysolutions.stress	vbresan/PerceivedStressScale
biz.binarysolutions.vatcalculator	vbresan/VAT_Calculator
biz.binarysolutions.weatherusa	vbresan/WeatherForecastUSA
bluepie.ad_silence	aghontpi/ad-silence
br.com.colman.petals	LeoColman/Petals
br.com.gualandi.dailypill	hugomg/DailyPill
br.com.jotdown	walterfr/jotdown-android
br.com.wasystems.audiooutputswitcher	weslley75/AudioOutputSwitcher
bruce.app	BruceDevices/App
btools.routingapp	abrensch/brouter
bus.chio.wishmaster	AliceCA/Overchan-Android
by.yauhenl.gardine	yauhen-l/gardine
ca.andries.portknocker	djandries/portknocker-android
ca.cgagnier.wlednativeandroid	Moustachauve/WLED-Android
ca.classicdiy.classic	ClassicDIY/ClassicMonitor
ca.cmetcalfe.locationshare	pR0Ps/LocationShare
ca.farrelltonsolar.classic	ClassicDIY/ClassicMonitor
ca.frozen.rpicameraviewer	ShawnBaker/RPiCameraViewer
ca.fuwafuwa.kaku	0xbad1d3a5/Kaku
ca.hamaluik.timecop	hamaluik/timecop
ca.ilianokokoro.umihi.music	ilianoKokoro/umihi-music
ca.ramzan.delist	ramzan/delist
ca.ramzan.virtuosity	ramzan/virtuosity
ca.rmen.android.frenchcalendar	caarmen/FRCAndroidWidget
ca.rmen.android.poetassistant	caarmen/poet-assistant
ca.rmen.android.scrumchatter	caarmen/scrumchatter
ca.rmen.nounours	caarmen/nounours-android
ca.snoe.deedum	snoe/deedum
ca.toadlybroodle.minimalist	toadlyBroodle/MinimaList
ca.vaults.randomlydie	timtoo/randomlydie
ca.voiditswarranty.roadtripradar	digiexchris/RoadTripRadar
camp.werewolf.infraarcana	tyrannotorus/cpp-infra-arcana-android
cash.p.terminal	piratecash/pcash-wallet
cat.mvmike.minimalcalendarwidget	mvmike/min-cal-widget
cat.naval.atalaya	aeri/Atalaya
cat.naval.florae	aeri/Florae
cat.pantsu.nyaapantsu	NyaaPantsu/NyaaPantsu-android-app
cc.calliope.mini	calliope-edu/Calliope-Android-App
cc.chenhe.qqnotifyevo	ichenhe/QQ-Notify-Evolution
cc.echonet.coolmicapp	CoolMicApp/CoolMicApp-Android
cc.goll.caff	goll72/caff
cc.kafuu.bilidownload	KafuuNeko/BiliDownload
cc.narumi.chaldea.fdroid	chaldea-center/chaldea
cc.occm.app	Lastorder-DC/moshidon
cc.polysfaer.stochapop	tcoppex/stochastic-reminder
cc.sovellus.vrcaa	Nyabsi/VRCAA
cc.taylorzhang.subtune	TaylorKunZhang/SubTune
cc.zachy.pulse	zoop-dev/pulse
celloapps.ddfguide	selmaohneh/DdfGuide
cf.playhi.freezeyou	FreezeYou/FreezeYou
cgeo.geocaching	cgeo/cgeo
ch.abertschi.adfree	abertschi/ad-free
ch.abertschi.waterme.water_me	abertschi/water-me
ch.bailu.aat	bailuk/AAT
ch.betzengineering.openvine	michael-betz/OpenVine
ch.blinkenlights.android.vanilla	vanilla-music/vanilla
ch.blinkenlights.android.vanillaplug	vanilla-music/vanilla-headphone-detector
ch.bubendorf.locusaddon.gsakdatabase	bubendorf/LocusAddonGsakDatabase
ch.coredump.watertemp.zh	gfroerli/app-android
ch.digitale_gesellschaft.winterkongress.schedule	DigitaleGesellschaft/EventFahrplan
ch.famoser.mensa	fflopsi/mensa-zh
ch.hgdev.toposuite	hgdev-ch/toposuite-android
ch.ictrust.pobya	ICTrust/PObY-A
ch.ihdg.calendarcolor	pascalfree/calendar-color
ch.joshuah.bibleverseapp	joshuabeny1999/BibleVerseApp
ch.logixisland.anuto	mjaun/android-anuto
ch.martinstoeckli.silentnotes	martinstoeckli/SilentNotes
ch.pec0ra.suspension_setup	pec0ra/suspension_setup
ch.pete.adbclipboard	PRosenb/AdbClipboard
ch.pocketpc.nearbyglasses	yjeanrenaud/yj_nearbyglasses
ch.protonvpn.android	ProtonVPN/android-app
ch.rmy.android.http_shortcuts	Waboodoo/HTTP-Shortcuts
ch.rmy.android.statusbar_tacho	Waboodoo/Status-Bar-Tachometer
ch.seto.kanjirecog	onitake/kanjirecog
ch.simonste.jasstafel	simonste/jasstafel
ch.swissbitcoinpay.checkout	SwissBitcoinPay/app
ch.threema.app.libre	threema-ch/threema-android
ch.tiim.markdown_widget	Tiim/Android-Markdown-Widget
ch.ulys.k19player	ulysg/k19-player
ch.virt.smartphonemouse	VirtCode/SmartMouse
chat.delta.lite	ArcaneChat/android
chat.fluffy.fluffychat	krille-chan/fluffychat
chat.schildi.android	SchildiChat/schildichat-android-next
chat.simplex.app	simplex-chat/simplex-chat
chromahub.rhythm.app	cromaguy/Rhythm
cl.coders.faketraveler	mcastillof/FakeTraveler
clavirom.keyboard	mhuberch/clavirom
cloud.keyspace.android	Keyspace-cloud/android
cloud.valetudo.companion	Hypfer/valetudo-companion
cn.a10miaomiao.bilidown	10miaomiao/bili-down-out
cn.ac.lz233.tarnhelm	lz233/Tarnhelm
cn.morfans.chenjunyu19.mediavolume	chenjunyu19/MediaVolume
cn.rbc.termuc	RainbowC0/TermuC
cn.super12138.todo	Super12138/VerveDo
co.adityarajput.alarmetrics	BURG3R5/Alarmetrics
co.adityarajput.fileflow	BURG3R5/FileFlow
co.adityarajput.notifilter	BURG3R5/NotiFilter
co.appreactor.news	bubelov/news
co.ec.cnsyn.codecatcher	headersalreadysent/tinycodecatcher
co.electriccoin.zcash.foss	zodl-inc/zodl-android
co.epitre.aelf_lectures	HackMyChurch/aelf-dailyreadings
co.garmax.materialflashlight	garmax1/material-flashlight
code.name.monkey.retromusic	RetroMusicPlayer/RetroMusicPlayer
